         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.22482e+01   0.00000e+00  -2.97809e+01   1.03974e+01   3.00000e+01
             1   2.22377e+01   1.00000e+00  -2.99712e+01   1.03971e+01   3.06667e+01
             2   2.24201e+01   2.00000e+00  -3.00761e+01   1.03967e+01   3.13333e+01
             3   2.28637e+01   3.00000e+00  -3.01684e+01   1.03965e+01   3.20000e+01
             4   2.33565e+01   4.00000e+00  -3.03588e+01   1.03959e+01   3.26667e+01
             5   2.38831e+01   5.00000e+00  -3.04402e+01   1.03952e+01   3.33333e+01
             6   2.44229e+01   6.00000e+00  -3.04912e+01   1.03943e+01   3.40000e+01
             7   2.49632e+01   7.00000e+00  -3.05376e+01   1.03934e+01   3.46667e+01
             8   2.55178e+01   8.00000e+00  -3.05025e+01   1.03921e+01   3.53333e+01
             9   2.61111e+01   9.00000e+00  -3.05126e+01   1.03911e+01   3.60000e+01
            10   2.67340e+01   1.00000e+01  -3.05258e+01   1.03901e+01   3.66667e+01
            11   2.73513e+01   1.10000e+01  -3.05354e+01   1.03891e+01   3.73333e+01
            12   2.79764e+01   1.20000e+01  -3.04725e+01   1.03882e+01   3.80000e+01
            13   2.86208e+01   1.30000e+01  -3.04388e+01   1.03873e+01   3.86667e+01
            14   2.92677e+01   1.40000e+01  -3.04016e+01   1.03865e+01   3.93333e+01
            15   2.99288e+01   1.50000e+01  -3.03609e+01   1.03857e+01   4.00000e+01
            16   3.05944e+01   1.60000e+01  -3.02549e+01   1.03849e+01   4.06667e+01
            17   3.12718e+01   1.70000e+01  -3.01797e+01   1.03841e+01   4.13333e+01
            18   3.19621e+01   1.80000e+01  -3.01099e+01   1.03832e+01   4.20000e+01
            19   3.26523e+01   1.90000e+01  -3.00397e+01   1.03823e+01   4.26667e+01
            20   3.33325e+01   2.00000e+01  -2.99232e+01   1.03812e+01   4.33333e+01
            21   3.40358e+01   2.10000e+01  -2.98311e+01   1.03802e+01   4.40000e+01
            22   3.47253e+01   2.20000e+01  -2.97435e+01   1.03791e+01   4.46667e+01
            23   3.54251e+01   2.30000e+01  -2.96585e+01   1.03779e+01   4.53333e+01
            24   3.61279e+01   2.40000e+01  -2.95569e+01   1.03765e+01   4.60000e+01
            25   3.68440e+01   2.50000e+01  -2.94676e+01   1.03752e+01   4.66667e+01
            26   3.75402e+01   2.60000e+01  -2.93826e+01   1.03739e+01   4.73333e+01
            27   3.82451e+01   2.70000e+01  -2.92997e+01   1.03725e+01   4.80000e+01
            28   3.89559e+01   2.80000e+01  -2.92228e+01   1.03709e+01   4.86667e+01
            29   3.96581e+01   2.90000e+01  -2.91472e+01   1.03694e+01   4.93333e+01
            30   4.03786e+01   3.00000e+01  -2.90755e+01   1.03678e+01   5.00000e+01
            31   4.10803e+01   3.10000e+01  -2.90066e+01   1.03662e+01   5.06667e+01
            32   4.17756e+01   3.20000e+01  -2.89614e+01   1.03644e+01   5.13333e+01
            33   4.24890e+01   3.30000e+01  -2.89075e+01   1.03625e+01   5.20000e+01
            34   4.32024e+01   3.40000e+01  -2.88545e+01   1.03607e+01   5.26667e+01
            35   4.39157e+01   3.50000e+01  -2.88040e+01   1.03588e+01   5.33333e+01
            36   4.46188e+01   3.60000e+01  -2.87784e+01   1.03566e+01   5.40000e+01
            37   4.53250e+01   3.70000e+01  -2.87427e+01   1.03544e+01   5.46667e+01
            38   4.60291e+01   3.80000e+01  -2.87080e+01   1.03521e+01   5.53333e+01
            39   4.67381e+01   3.90000e+01  -2.86752e+01   1.03497e+01   5.60000e+01
            40   4.74448e+01   4.00000e+01  -2.86720e+01   1.03469e+01   5.66667e+01
            41   4.81494e+01   4.10000e+01  -2.86574e+01   1.03443e+01   5.73333e+01
            42   4.88624e+01   4.20000e+01  -2.86428e+01   1.03415e+01   5.80000e+01
            43   4.95698e+01   4.30000e+01  -2.86306e+01   1.03387e+01   5.86667e+01
            44   5.02789e+01   4.40000e+01  -2.86435e+01   1.03355e+01   5.93333e+01
            45   5.09916e+01   4.50000e+01  -2.86477e+01   1.03324e+01   6.00000e+01
            46   5.16908e+01   4.60000e+01  -2.86549e+01   1.03291e+01   6.06667e+01
            47   5.24077e+01   4.70000e+01  -2.86664e+01   1.03258e+01   6.13333e+01
            48   5.31092e+01   4.80000e+01  -2.87036e+01   1.03222e+01   6.20000e+01
            49   5.38097e+01   4.90000e+01  -2.87292e+01   1.03185e+01   6.26667e+01
            50   5.45194e+01   5.00000e+01  -2.87558e+01   1.03148e+01   6.33333e+01
            51   5.52230e+01   5.10000e+01  -2.87850e+01   1.03110e+01   6.40000e+01
            52   5.59307e+01   5.20000e+01  -2.88453e+01   1.03068e+01   6.46667e+01
            53   5.66366e+01   5.30000e+01  -2.88925e+01   1.03026e+01   6.53333e+01
            54   5.73305e+01   5.40000e+01  -2.89402e+01   1.02983e+01   6.60000e+01
            55   5.80294e+01   5.50000e+01  -2.89913e+01   1.02939e+01   6.66667e+01
            56   5.87275e+01   5.60000e+01  -2.90743e+01   1.02891e+01   6.73333e+01
            57   5.94394e+01   5.70000e+01  -2.91457e+01   1.02844e+01   6.80000e+01
            58   6.01418e+01   5.80000e+01  -2.92179e+01   1.02795e+01   6.86667e+01
            59   6.08338e+01   5.90000e+01  -2.92934e+01   1.02745e+01   6.93333e+01
            60   6.15345e+01   6.00000e+01  -2.93959e+01   1.02692e+01   7.00000e+01
            61   6.22294e+01   6.10000e+01  -2.94878e+01   1.02638e+01   7.06667e+01
            62   6.29314e+01   6.20000e+01  -2.95809e+01   1.02584e+01   7.13333e+01
            63   6.36205e+01   6.30000e+01  -2.96769e+01   1.02528e+01   7.20000e+01
            64   6.43103e+01   6.40000e+01  -2.98042e+01   1.02467e+01   7.26667e+01
            65   6.50027e+01   6.50000e+01  -2.99160e+01   1.02406e+01   7.33333e+01
            66   6.56943e+01   6.60000e+01  -3.00281e+01   1.02344e+01   7.40000e+01
            67   6.63850e+01   6.70000e+01  -3.01429e+01   1.02280e+01   7.46667e+01
            68   6.70674e+01   6.80000e+01  -3.02830e+01   1.02213e+01   7.53333e+01
            69   6.77661e+01   6.90000e+01  -3.04124e+01   1.02146e+01   7.60000e+01
            70   6.84533e+01   7.00000e+01  -3.05424e+01   1.02078e+01   7.66667e+01
            71   6.91383e+01   7.10000e+01  -3.06746e+01   1.02009e+01   7.73333e+01
            72   6.98280e+01   7.20000e+01  -3.08273e+01   1.01936e+01   7.80000e+01
            73   7.05159e+01   7.30000e+01  -3.09732e+01   1.01863e+01   7.86667e+01
            74   7.12021e+01   7.40000e+01  -3.11198e+01   1.01789e+01   7.93333e+01
            75   7.18794e+01   7.50000e+01  -3.12684e+01   1.01713e+01   8.00000e+01
            76   7.25632e+01   7.60000e+01  -3.14385e+01   1.01632e+01   8.06667e+01
            77   7.32473e+01   7.70000e+01  -3.16009e+01   1.01551e+01   8.13333e+01
            78   7.39325e+01   7.80000e+01  -3.17636e+01   1.01470e+01   8.20000e+01
            79   7.46132e+01   7.90000e+01  -3.19269e+01   1.01388e+01   8.26667e+01
            80   7.52883e+01   8.00000e+01  -3.21074e+01   1.01302e+01   8.33333e+01
            81   7.59742e+01   8.10000e+01  -3.22797e+01   1.01215e+01   8.40000e+01
            82   7.66459e+01   8.20000e+01  -3.24516e+01   1.01127e+01   8.46667e+01
            83   7.73226e+01   8.30000e+01  -3.26253e+01   1.01039e+01   8.53333e+01
            84   7.80125e+01   8.40000e+01  -3.28143e+01   1.00946e+01   8.60000e+01
            85   7.86818e+01   8.50000e+01  -3.29938e+01   1.00854e+01   8.66667e+01
            86   7.93571e+01   8.60000e+01  -3.31708e+01   1.00761e+01   8.73333e+01
            87   8.00337e+01   8.70000e+01  -3.33478e+01   1.00668e+01   8.80000e+01
            88   8.07177e+01   8.80000e+01  -3.35302e+01   1.00572e+01   8.86667e+01
            89   8.13931e+01   8.90000e+01  -3.37092e+01   1.00476e+01   8.93333e+01
            90   8.20640e+01   9.00000e+01  -3.38876e+01   1.00379e+01   9.00000e+01
            91   8.27438e+01   9.10000e+01  -3.40663e+01   1.00281e+01   9.06667e+01
            92   8.34196e+01   9.20000e+01  -3.42467e+01   1.00180e+01   9.13333e+01
            93   8.41014e+01   9.30000e+01  -3.44225e+01   1.00081e+01   9.20000e+01
            94   8.47854e+01   9.40000e+01  -3.45959e+01   9.99803e+00   9.26667e+01
            95   8.54649e+01   9.50000e+01  -3.47681e+01   9.98797e+00   9.33333e+01
            96   8.61457e+01   9.60000e+01  -3.49332e+01   9.97767e+00   9.40000e+01
            97   8.68276e+01   9.70000e+01  -3.51003e+01   9.96744e+00   9.46667e+01
            98   8.75009e+01   9.80000e+01  -3.52646e+01   9.95718e+00   9.53333e+01
            99   8.81816e+01   9.90000e+01  -3.54270e+01   9.94693e+00   9.60000e+01
           100   8.88543e+01   1.00000e+02  -3.55785e+01   9.93650e+00   9.66667e+01
           101   8.95432e+01   1.01000e+02  -3.57311e+01   9.92613e+00   9.73333e+01
           102   9.02352e+01   1.02000e+02  -3.58814e+01   9.91576e+00   9.80000e+01
           103   9.09114e+01   1.03000e+02  -3.60293e+01   9.90540e+00   9.86667e+01
